#==================== COMMENTS ====================
GurobiModelSolver
#==================================================


Time;ExplNodes;UnexplNodes;SolCount;Incumbent;BestBd;Gap;Where
1;0;0;0;10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000;-10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000;2.000000;MIPNODE
4;0;0;1;13117.3173;11234.8769;0.167553;MIPSOL
8;0;0;2;12741.7995;11241.2629;0.133485;MIPSOL
25;1;0;2;12741.7995;11241.3049;0.133480;MIPNODE
27;2;0;2;12741.7995;11241.9288;0.133418;MIPNODE
28;4;0;2;12741.7995;11243.4529;0.133264;MIPNODE
29;5;0;2;12741.7995;11243.5981;0.133249;MIPNODE
30;6;0;2;12741.7995;11243.9475;0.133214;MIPNODE
51;28;0;3;12272.5037;11243.9475;0.091476;MIPSOL
65;56;0;4;11788.5766;11243.9475;0.048438;MIPSOL
85;84;0;5;11782.4664;11243.9475;0.047894;MIPSOL
203;705;0;6;11510.9439;11243.9475;0.023746;MIPSOL
208;707;0;6;11510.9439;11268.6432;0.021502;MIPNODE
208;739;0;6;11510.9439;11272.6445;0.021140;MIPNODE
312;921;0;6;11510.9439;11272.7777;0.021128;MIPNODE
314;925;0;6;11510.9439;11274.2960;0.020990;MIPNODE
315;927;0;6;11510.9439;11274.3021;0.020989;MIPNODE
316;929;0;6;11510.9439;11284.9703;0.020024;MIPNODE
319;934;0;6;11510.9439;11293.0938;0.019291;MIPNODE
319;936;0;6;11510.9439;11293.8692;0.019221;MIPNODE
320;940;0;6;11510.9439;11294.3281;0.019179;MIPNODE
321;943;0;6;11510.9439;11297.2827;0.018913;MIPNODE
321;945;0;6;11510.9439;11297.5925;0.018885;MIPNODE
322;947;0;6;11510.9439;11297.7117;0.018874;MIPNODE
322;950;0;6;11510.9439;11297.9822;0.018850;MIPNODE
323;953;0;6;11510.9439;11301.2814;0.018552;MIPNODE
323;956;0;6;11510.9439;11303.3901;0.018362;MIPNODE
327;962;0;6;11510.9439;11305.2367;0.018196;MIPNODE
328;964;0;6;11510.9439;11305.8389;0.018142;MIPNODE
328;966;0;6;11510.9439;11306.8957;0.018046;MIPNODE
329;971;0;6;11510.9439;11307.1734;0.018021;MIPNODE
329;972;0;6;11510.9439;11307.1746;0.018021;MIPNODE
329;974;0;6;11510.9439;11307.4616;0.017995;MIPNODE
330;976;0;6;11510.9439;11308.6795;0.017886;MIPNODE
330;978;0;6;11510.9439;11308.8561;0.017870;MIPNODE
331;984;0;6;11510.9439;11310.3329;0.017737;MIPNODE
332;987;0;6;11510.9439;11310.7491;0.017700;MIPNODE
332;993;0;6;11510.9439;11312.4240;0.017549;MIPNODE
333;997;0;6;11510.9439;11312.7159;0.017523;MIPNODE
333;998;0;6;11510.9439;11312.8023;0.017515;MIPNODE
337;1001;0;6;11510.9439;11317.0895;0.017129;MIPNODE
337;1002;0;6;11510.9439;11317.6026;0.017083;MIPNODE
337;1004;0;6;11510.9439;11323.3588;0.016566;MIPNODE
337;1006;0;6;11510.9439;11324.1896;0.016492;MIPNODE
337;1008;0;6;11510.9439;11324.7912;0.016438;MIPNODE
337;1010;0;6;11510.9439;11325.1297;0.016407;MIPNODE
337;1012;0;6;11510.9439;11325.1429;0.016406;MIPNODE
342;1107;0;6;11510.9439;11325.1443;0.016406;MIPNODE
342;1108;0;6;11510.9439;11325.6863;0.016357;MIPNODE
342;1110;0;6;11510.9439;11325.7607;0.016351;MIPNODE
342;1112;0;6;11510.9439;11325.7844;0.016348;MIPNODE
342;1114;0;6;11510.9439;11327.7656;0.016171;MIPNODE
342;1116;0;6;11510.9439;11328.1669;0.016135;MIPNODE
342;1118;0;6;11510.9439;11329.3204;0.016031;MIPNODE
342;1120;0;6;11510.9439;11330.2493;0.015948;MIPNODE
342;1145;0;7;11397.9723;11330.2493;0.005977;MIPSOL
349;1151;0;7;11397.9723;11333.3868;0.005699;MIPNODE
349;1152;0;7;11397.9723;11333.4024;0.005697;MIPNODE
352;1156;0;7;11397.9723;11333.5940;0.005680;MIPNODE
352;1158;0;7;11397.9723;11335.4447;0.005516;MIPNODE
420;2020;0;7;11397.9723;11380.1194;0.001569;MIPNODE
420;2036;0;7;11397.9723;11380.5328;0.001532;MIPNODE
420;2037;0;7;11397.9723;11380.5683;0.001529;MIPNODE
420;2038;0;7;11397.9723;11380.5732;0.001529;MIPNODE
420;2039;0;7;11397.9723;11381.5175;0.001446;MIPNODE
421;2056;0;7;11397.9723;11381.7949;0.001421;MIPNODE
421;2094;0;7;11397.9723;11383.9585;0.001231;MIPNODE
421;2113;0;7;11397.9723;11385.2758;0.001115;MIPNODE
421;2119;0;7;11397.9723;11397.9723;0.000000;MIPNODE
