#==================== COMMENTS ====================
GurobiModelSolver
#==================================================


Time;ExplNodes;UnexplNodes;SolCount;Incumbent;BestBd;Gap;Where
0;0;0;1;3571.2967;-10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000;2800103391337446400000000000000000000000000000000000000000000000000000000000000000000000000000000.000000;MIPNODE
1;0;0;2;3506.2475;3132.1894;0.106683;MIPSOL
1;0;0;3;3432.3667;3149.6156;0.082378;MIPSOL
2;0;0;4;3411.7713;3152.6153;0.075959;MIPSOL
2;0;0;4;3411.7713;3154.6650;0.075359;MIPNODE
2;0;0;4;3411.7713;3156.7542;0.074746;MIPNODE
3;0;0;5;3407.4168;3159.5403;0.072746;MIPSOL
4;0;3159;5;3407.4168;3159.7108;0.072696;MIPNODE
4;0;0;5;3407.4168;3159.7108;0.072696;MIPNODE
6;1;0;5;3407.4168;3159.7178;0.072694;MIPNODE
7;2;0;5;3407.4168;3161.2815;0.072235;MIPNODE
7;4;0;5;3407.4168;3162.1073;0.071993;MIPNODE
7;8;0;5;3407.4168;3163.6417;0.071543;MIPNODE
17;252;0;6;3404.2869;3163.6417;0.070689;MIPSOL
28;936;0;6;3404.2869;3164.8874;0.070323;MIPNODE
41;1071;0;7;3374.1746;3164.8874;0.062026;MIPSOL
61;1078;0;8;3370.6547;3164.8874;0.061047;MIPSOL
65;1080;0;8;3370.6547;3165.8122;0.060772;MIPNODE
66;1081;0;8;3370.6547;3165.8988;0.060747;MIPNODE
66;1082;0;8;3370.6547;3167.6230;0.060235;MIPNODE
67;1083;0;8;3370.6547;3167.8489;0.060168;MIPNODE
68;1085;0;8;3370.6547;3167.8956;0.060154;MIPNODE
68;1086;0;8;3370.6547;3170.4437;0.059398;MIPNODE
68;1088;0;8;3370.6547;3170.7487;0.059308;MIPNODE
68;1092;0;8;3370.6547;3170.8131;0.059289;MIPNODE
69;1096;0;8;3370.6547;3170.9872;0.059237;MIPNODE
70;1098;0;8;3370.6547;3171.8523;0.058980;MIPNODE
70;1100;0;8;3370.6547;3172.1374;0.058896;MIPNODE
70;1102;0;8;3370.6547;3173.1065;0.058608;MIPNODE
70;1104;0;8;3370.6547;3173.3213;0.058545;MIPNODE
72;1106;0;8;3370.6547;3173.3497;0.058536;MIPNODE
73;1108;0;8;3370.6547;3173.5631;0.058473;MIPNODE
73;1110;0;8;3370.6547;3173.7742;0.058410;MIPNODE
73;1112;0;8;3370.6547;3173.9520;0.058357;MIPNODE
73;1114;0;8;3370.6547;3174.1080;0.058311;MIPNODE
105;1804;0;9;3334.5948;3174.1080;0.048128;MIPSOL
111;1888;0;10;3296.2604;3174.1080;0.037058;MIPSOL
112;1903;0;10;3296.2604;3174.1604;0.037042;MIPNODE
112;1957;0;10;3296.2604;3174.2185;0.037024;MIPNODE
125;2483;0;10;3296.2604;3174.4812;0.036945;MIPNODE
125;2566;3296;10;3296.2604;3175.0634;0.036768;MIPNODE
131;3000;3296;10;3296.2604;3176.1167;0.036448;MIPNODE
131;3049;3296;10;3296.2604;3177.3654;0.036070;MIPNODE
132;3222;3296;10;3296.2604;3177.6180;0.035993;MIPNODE
134;3370;3296;10;3296.2604;3177.8099;0.035935;MIPNODE
136;3609;3296;10;3296.2604;3180.6745;0.035066;MIPNODE
136;3660;3296;10;3296.2604;3180.7896;0.035031;MIPNODE
139;3851;3296;10;3296.2604;3182.2282;0.034594;MIPNODE
