"Threads";"IpMax";"Pool Size";"Name";"Group";"Size";"crew";"run";"init_time";"init_it";"init_wt";"alns_time";"Time (s)";"alns_it";"alns_wt";"bks";"Gap (frac)";"Gap (%)";"bks_opt";"Speedup";"Ref time"
1;100;10;"C101";"C1";100;25;0;266;4;2974.9;100926;100.926;25000;828.7;827.3;0.001692;0.1692;"false";1.2685263743;128.0272928571
1;100;10;"C101";"C1";100;25;1;68;4;2974.9;100581;100.581;25000;828.7;827.3;0.001692;0.1692;"false";1.2728775102;
1;100;10;"C101";"C1";100;25;2;65;4;2974.9;100387;100.387;25000;828.7;827.3;0.001692;0.1692;"false";1.2753373729;
1;100;10;"C101";"C1";100;25;3;70;4;2974.9;99205;99.205;25000;828.7;827.3;0.001692;0.1692;"false";1.2905326632;
1;100;10;"C101";"C1";100;25;4;68;4;2974.9;100259;100.259;25000;828.7;827.3;0.001692;0.1692;"false";1.2769655877;
1;100;10;"C102";"C1";100;25;0;64;4;2920.4;103508;103.508;25000;828.7;827.3;0.001692;0.1692;"true";1.2368830705;
1;100;10;"C102";"C1";100;25;1;76;4;2920.4;100318;100.318;25000;828.7;827.3;0.001692;0.1692;"true";1.2762145663;
1;100;10;"C102";"C1";100;25;2;68;4;2920.4;101805;101.805;25000;828.7;827.3;0.001692;0.1692;"true";1.2575737229;
1;100;10;"C102";"C1";100;25;3;68;4;2920.4;102839;102.839;25000;828.7;827.3;0.001692;0.1692;"true";1.2449293834;
1;100;10;"C102";"C1";100;25;4;68;4;2920.4;104943;104.943;25000;828.7;827.3;0.001692;0.1692;"true";1.2199698204;
1;100;10;"C103";"C1";100;25;0;79;4;2865.4;107361;107.361;25000;827.8;826.3;0.001815;0.1815;"true";1.1924934833;
1;100;10;"C103";"C1";100;25;1;72;4;2865.4;106146;106.146;25000;827.8;826.3;0.001815;0.1815;"true";1.2061433578;
1;100;10;"C103";"C1";100;25;2;69;4;2865.4;105472;105.472;25000;827.8;826.3;0.001815;0.1815;"true";1.2138510018;
1;100;10;"C103";"C1";100;25;3;66;4;2865.4;105562;105.562;25000;827.8;826.3;0.001815;0.1815;"true";1.2128160972;
1;100;10;"C103";"C1";100;25;4;78;4;2865.4;105979;105.979;25000;827.8;826.3;0.001815;0.1815;"true";1.2080439791;
1;100;10;"C104";"C1";100;25;0;65;4;2809.5;109418;109.418;25000;824.6;822.9;0.002066;0.2066;"true";1.1700752423;
1;100;10;"C104";"C1";100;25;1;69;4;2809.5;107840;107.84;25000;824.6;822.9;0.002066;0.2066;"true";1.1871967068;
1;100;10;"C104";"C1";100;25;2;72;4;2809.5;109546;109.546;25000;824.6;822.9;0.002066;0.2066;"true";1.1687080574;
1;100;10;"C104";"C1";100;25;3;70;4;2809.5;110058;110.058;25000;824.6;822.9;0.002066;0.2066;"true";1.1632711194;
1;100;10;"C104";"C1";100;25;4;69;4;2809.5;108750;108.75;25000;824.6;822.9;0.002066;0.2066;"true";1.1772624631;
1;100;10;"C105";"C1";100;25;0;64;4;3059.3;101983;101.983;25000;828.7;827.3;0.001692;0.1692;"true";1.2553787676;
1;100;10;"C105";"C1";100;25;1;65;4;3059.3;100347;100.347;25000;828.7;827.3;0.001692;0.1692;"true";1.2758457438;
1;100;10;"C105";"C1";100;25;2;63;4;3059.3;100114;100.114;25000;828.7;827.3;0.001692;0.1692;"true";1.2788150794;
1;100;10;"C105";"C1";100;25;3;81;4;3059.3;101842;101.842;25000;828.7;827.3;0.001692;0.1692;"true";1.2571168364;
1;100;10;"C105";"C1";100;25;4;67;4;3059.3;102425;102.425;25000;828.7;827.3;0.001692;0.1692;"true";1.2499613655;
1;100;10;"C106";"C1";100;25;0;66;4;2964.8;104851;104.851;25000;828.7;827.3;0.001692;0.1692;"true";1.2210402653;
1;100;10;"C106";"C1";100;25;1;55;4;2964.8;100344;100.344;25000;828.7;827.3;0.001692;0.1692;"true";1.275883888;
1;100;10;"C106";"C1";100;25;2;54;4;2964.8;100303;100.303;25000;828.7;827.3;0.001692;0.1692;"true";1.2764054201;
1;100;10;"C106";"C1";100;25;3;68;4;2964.8;102336;102.336;25000;828.7;827.3;0.001692;0.1692;"true";1.2510484371;
1;100;10;"C106";"C1";100;25;4;61;4;2964.8;101982;101.982;25000;828.7;827.3;0.001692;0.1692;"true";1.2553910774;
1;100;10;"C107";"C1";100;25;0;54;4;3000.5;100141;100.141;25000;828.7;827.3;0.001692;0.1692;"true";1.2784702855;
1;100;10;"C107";"C1";100;25;1;57;4;3000.5;97793;97.793;25000;828.7;827.3;0.001692;0.1692;"true";1.3091662272;
1;100;10;"C107";"C1";100;25;2;90;4;3000.5;99887;99.887;25000;828.7;827.3;0.001692;0.1692;"true";1.2817212736;
1;100;10;"C107";"C1";100;25;3;64;4;3000.5;101054;101.054;25000;828.7;827.3;0.001692;0.1692;"true";1.266919596;
1;100;10;"C107";"C1";100;25;4;69;4;3000.5;100605;100.605;25000;828.7;827.3;0.001692;0.1692;"true";1.2725738567;
1;100;10;"C108";"C1";100;25;0;66;4;2892.2;98585;98.585;25000;828.7;827.3;0.001692;0.1692;"true";1.2986488092;
1;100;10;"C108";"C1";100;25;1;64;4;2892.2;100132;100.132;25000;828.7;827.3;0.001692;0.1692;"true";1.2785851961;
1;100;10;"C108";"C1";100;25;2;60;4;2892.2;100216;100.216;25000;828.7;827.3;0.001692;0.1692;"true";1.2775134994;
1;100;10;"C108";"C1";100;25;3;73;4;2892.2;98700;98.7;25000;828.7;827.3;0.001692;0.1692;"true";1.2971356926;
1;100;10;"C108";"C1";100;25;4;68;4;2892.2;99925;99.925;25000;828.7;827.3;0.001692;0.1692;"true";1.281233854;
1;100;10;"C109";"C1";100;25;0;76;4;2846.6;105395;105.395;25000;828.7;827.3;0.001692;0.1692;"true";1.214737823;
1;100;10;"C109";"C1";100;25;1;62;4;2846.6;102522;102.522;25000;828.7;827.3;0.001692;0.1692;"true";1.248778729;
1;100;10;"C109";"C1";100;25;2;60;4;2846.6;101240;101.24;25000;828.7;827.3;0.001692;0.1692;"true";1.2645919879;
1;100;10;"C109";"C1";100;25;3;63;4;2846.6;102189;102.189;25000;828.7;827.3;0.001692;0.1692;"true";1.252848084;
1;100;10;"C109";"C1";100;25;4;76;4;2846.6;101635;101.635;25000;828.7;827.3;0.001692;0.1692;"true";1.2596772062;
1;100;10;"C201";"C2";100;25;0;68;4;2687.1;200862;200.862;25000;591.6;589.1;0.004244;0.4244;"true";0.6373893163;
1;100;10;"C201";"C2";100;25;1;62;4;2687.1;201280;201.28;25000;591.6;589.1;0.004244;0.4244;"true";0.6360656442;
1;100;10;"C201";"C2";100;25;2;68;4;2687.1;202974;202.974;25000;591.6;589.1;0.004244;0.4244;"true";0.6307571061;
1;100;10;"C201";"C2";100;25;3;61;4;2687.1;202227;202.227;25000;591.6;589.1;0.004244;0.4244;"true";0.6330870401;
