"Threads";"IpMax";"Pool Size";"Name";"Group";"Size";"crew";"run";"init_time";"init_it";"init_wt";"alns_time";"Time (s)";"alns_it";"alns_wt";"bks";"Gap (frac)";"Gap (%)";"bks_opt";"Speedup";"Ref Time"
1;100;10;"C101";"C1";100;25;0;266;4;2974.9;100926;100.926;25000;828.7;827.3;0.001692;0.1692;"false";1.2624541036;127.4144428571
1;100;10;"C101";"C1";100;25;1;68;4;2974.9;100581;100.581;25000;828.7;827.3;0.001692;0.1692;"false";1.2667844111;
1;100;10;"C101";"C1";100;25;2;65;4;2974.9;100387;100.387;25000;828.7;827.3;0.001692;0.1692;"false";1.2692324988;
1;100;10;"C101";"C1";100;25;3;70;4;2974.9;99205;99.205;25000;828.7;827.3;0.001692;0.1692;"false";1.2843550512;
1;100;10;"C101";"C1";100;25;4;68;4;2974.9;100259;100.259;25000;828.7;827.3;0.001692;0.1692;"false";1.2708529195;
1;100;10;"C102";"C1";100;25;0;64;4;2920.4;103508;103.508;25000;828.7;827.3;0.001692;0.1692;"true";1.2309622721;
1;100;10;"C102";"C1";100;25;1;76;4;2920.4;100318;100.318;25000;828.7;827.3;0.001692;0.1692;"true";1.2701054931;
1;100;10;"C102";"C1";100;25;2;68;4;2920.4;101805;101.805;25000;828.7;827.3;0.001692;0.1692;"true";1.251553881;
1;100;10;"C102";"C1";100;25;3;68;4;2920.4;102839;102.839;25000;828.7;827.3;0.001692;0.1692;"true";1.2389700683;
1;100;10;"C102";"C1";100;25;4;68;4;2920.4;104943;104.943;25000;828.7;827.3;0.001692;0.1692;"true";1.2141299835;
1;100;10;"C103";"C1";100;25;0;79;4;2865.4;107361;107.361;25000;827.8;826.3;0.001815;0.1815;"true";1.1867851721;
1;100;10;"C103";"C1";100;25;1;72;4;2865.4;106146;106.146;25000;827.8;826.3;0.001815;0.1815;"true";1.2003697064;
1;100;10;"C103";"C1";100;25;2;69;4;2865.4;105472;105.472;25000;827.8;826.3;0.001815;0.1815;"true";1.2080404549;
1;100;10;"C103";"C1";100;25;3;66;4;2865.4;105562;105.562;25000;827.8;826.3;0.001815;0.1815;"true";1.2070105043;
1;100;10;"C103";"C1";100;25;4;78;4;2865.4;105979;105.979;25000;827.8;826.3;0.001815;0.1815;"true";1.2022612297;
1;100;10;"C104";"C1";100;25;0;65;4;2809.5;109418;109.418;25000;824.6;822.9;0.002066;0.2066;"true";1.1644742442;
1;100;10;"C104";"C1";100;25;1;69;4;2809.5;107840;107.84;25000;824.6;822.9;0.002066;0.2066;"true";1.1815137505;
1;100;10;"C104";"C1";100;25;2;72;4;2809.5;109546;109.546;25000;824.6;822.9;0.002066;0.2066;"true";1.1631136039;
1;100;10;"C104";"C1";100;25;3;70;4;2809.5;110058;110.058;25000;824.6;822.9;0.002066;0.2066;"true";1.1577026918;
1;100;10;"C104";"C1";100;25;4;69;4;2809.5;108750;108.75;25000;824.6;822.9;0.002066;0.2066;"true";1.1716270608;
1;100;10;"C105";"C1";100;25;0;64;4;3059.3;101983;101.983;25000;828.7;827.3;0.001692;0.1692;"true";1.2493694327;
1;100;10;"C105";"C1";100;25;1;65;4;3059.3;100347;100.347;25000;828.7;827.3;0.001692;0.1692;"true";1.2697384362;
1;100;10;"C105";"C1";100;25;2;63;4;3059.3;100114;100.114;25000;828.7;827.3;0.001692;0.1692;"true";1.2726935579;
1;100;10;"C105";"C1";100;25;3;81;4;3059.3;101842;101.842;25000;828.7;827.3;0.001692;0.1692;"true";1.2510991816;
1;100;10;"C105";"C1";100;25;4;67;4;3059.3;102425;102.425;25000;828.7;827.3;0.001692;0.1692;"true";1.243977963;
1;100;10;"C106";"C1";100;25;0;66;4;2964.8;104851;104.851;25000;828.7;827.3;0.001692;0.1692;"true";1.2151953044;
1;100;10;"C106";"C1";100;25;1;55;4;2964.8;100344;100.344;25000;828.7;827.3;0.001692;0.1692;"true";1.2697763978;
1;100;10;"C106";"C1";100;25;2;54;4;2964.8;100303;100.303;25000;828.7;827.3;0.001692;0.1692;"true";1.2702954334;
1;100;10;"C106";"C1";100;25;3;68;4;2964.8;102336;102.336;25000;828.7;827.3;0.001692;0.1692;"true";1.2450598309;
1;100;10;"C106";"C1";100;25;4;61;4;2964.8;101982;101.982;25000;828.7;827.3;0.001692;0.1692;"true";1.2493816836;
1;100;10;"C107";"C1";100;25;0;54;4;3000.5;100141;100.141;25000;828.7;827.3;0.001692;0.1692;"true";1.2723504145;
1;100;10;"C107";"C1";100;25;1;57;4;3000.5;97793;97.793;25000;828.7;827.3;0.001692;0.1692;"true";1.3028994187;
1;100;10;"C107";"C1";100;25;2;90;4;3000.5;99887;99.887;25000;828.7;827.3;0.001692;0.1692;"true";1.2755858406;
1;100;10;"C107";"C1";100;25;3;64;4;3000.5;101054;101.054;25000;828.7;827.3;0.001692;0.1692;"true";1.2608550167;
1;100;10;"C107";"C1";100;25;4;69;4;3000.5;100605;100.605;25000;828.7;827.3;0.001692;0.1692;"true";1.2664822112;
1;100;10;"C108";"C1";100;25;0;66;4;2892.2;98585;98.585;25000;828.7;827.3;0.001692;0.1692;"true";1.2924323463;
1;100;10;"C108";"C1";100;25;1;64;4;2892.2;100132;100.132;25000;828.7;827.3;0.001692;0.1692;"true";1.2724647751;
1;100;10;"C108";"C1";100;25;2;60;4;2892.2;100216;100.216;25000;828.7;827.3;0.001692;0.1692;"true";1.2713982084;
1;100;10;"C108";"C1";100;25;3;73;4;2892.2;98700;98.7;25000;828.7;827.3;0.001692;0.1692;"true";1.2909264727;
1;100;10;"C108";"C1";100;25;4;68;4;2892.2;99925;99.925;25000;828.7;827.3;0.001692;0.1692;"true";1.2751007541;
