id,name,group,run,alns_gap_no_adj,alns_gap_auto_adj
1,C101,C1,0,0.00%,0.00%
2,C101,C1,1,0.00%,0.00%
3,C101,C1,2,0.00%,0.00%
4,C101,C1,3,0.00%,0.00%
5,C101,C1,4,0.00%,0.00%
6,C101,C1,5,0.00%,0.00%
7,C101,C1,6,0.00%,0.00%
8,C101,C1,7,0.00%,0.00%
9,C101,C1,8,0.00%,0.00%
10,C101,C1,9,0.00%,0.00%
11,C102,C1,0,0.00%,0.00%
12,C102,C1,1,0.00%,0.00%
13,C102,C1,2,0.00%,0.00%
14,C102,C1,3,0.00%,0.00%
15,C102,C1,4,0.00%,0.00%
16,C102,C1,5,0.00%,0.00%
17,C102,C1,6,0.00%,0.00%
18,C102,C1,7,0.00%,0.00%
19,C102,C1,8,0.00%,0.00%
20,C102,C1,9,0.00%,0.00%
21,C103,C1,0,0.00%,0.00%
22,C103,C1,1,0.00%,0.00%
23,C103,C1,2,0.00%,0.00%
24,C103,C1,3,0.00%,0.00%
25,C103,C1,4,0.00%,0.00%
26,C103,C1,5,0.00%,0.00%
27,C103,C1,6,0.00%,0.00%
28,C103,C1,7,0.00%,0.00%
29,C103,C1,8,0.00%,0.00%
30,C103,C1,9,0.00%,0.00%
31,C104,C1,0,0.00%,0.00%
32,C104,C1,1,0.00%,0.00%
33,C104,C1,2,0.00%,0.00%
34,C104,C1,3,0.00%,0.00%
35,C104,C1,4,0.00%,0.00%
36,C104,C1,5,0.00%,0.00%
37,C104,C1,6,0.00%,0.00%
38,C104,C1,7,0.00%,0.00%
39,C104,C1,8,0.00%,0.00%
40,C104,C1,9,0.00%,0.00%
41,C105,C1,0,0.00%,0.00%
42,C105,C1,1,0.00%,0.00%
43,C105,C1,2,0.00%,0.00%
44,C105,C1,3,0.00%,0.00%
45,C105,C1,4,0.00%,0.00%
46,C105,C1,5,0.00%,0.00%
47,C105,C1,6,0.00%,0.00%
48,C105,C1,7,0.00%,0.00%
49,C105,C1,8,0.00%,0.00%
50,C105,C1,9,0.00%,0.00%
51,C106,C1,0,0.00%,0.00%
52,C106,C1,1,0.00%,0.00%
53,C106,C1,2,0.00%,0.00%
54,C106,C1,3,0.00%,0.00%
55,C106,C1,4,0.00%,0.00%
56,C106,C1,5,0.00%,0.00%
57,C106,C1,6,0.00%,0.00%
58,C106,C1,7,0.00%,0.00%
59,C106,C1,8,0.00%,0.00%
60,C106,C1,9,0.00%,0.00%
61,C107,C1,0,0.00%,0.00%
62,C107,C1,1,0.00%,0.00%
63,C107,C1,2,0.00%,0.00%
64,C107,C1,3,0.00%,0.00%
65,C107,C1,4,0.00%,0.00%
66,C107,C1,5,0.00%,0.00%
67,C107,C1,6,0.00%,0.00%
68,C107,C1,7,0.00%,0.00%
69,C107,C1,8,0.00%,0.00%
70,C107,C1,9,0.00%,0.00%
71,C108,C1,0,0.00%,0.00%
72,C108,C1,1,0.00%,0.00%
73,C108,C1,2,0.00%,0.00%
74,C108,C1,3,0.00%,0.00%
75,C108,C1,4,0.00%,0.00%
76,C108,C1,5,0.00%,0.00%
77,C108,C1,6,0.00%,0.00%
78,C108,C1,7,0.00%,0.00%
79,C108,C1,8,0.00%,0.00%
80,C108,C1,9,0.00%,0.00%
81,C109,C1,0,0.00%,0.00%
82,C109,C1,1,0.00%,0.00%
83,C109,C1,2,0.00%,0.00%
84,C109,C1,3,0.00%,0.00%
85,C109,C1,4,0.00%,0.00%
86,C109,C1,5,0.00%,0.00%
87,C109,C1,6,0.00%,0.00%
88,C109,C1,7,0.00%,0.00%
89,C109,C1,8,0.00%,0.00%
90,C109,C1,9,0.00%,0.00%
91,C201,C2,0,0.00%,0.00%
92,C201,C2,1,0.00%,0.00%
93,C201,C2,2,0.00%,0.00%
94,C201,C2,3,0.00%,0.00%
95,C201,C2,4,0.00%,0.00%
96,C201,C2,5,0.00%,0.00%
97,C201,C2,6,0.00%,0.00%
98,C201,C2,7,0.00%,0.00%
99,C201,C2,8,0.00%,0.00%
100,C201,C2,9,0.00%,0.00%
101,C202,C2,0,0.00%,0.00%
102,C202,C2,1,0.00%,0.00%
103,C202,C2,2,0.00%,0.00%
104,C202,C2,3,0.00%,0.00%
105,C202,C2,4,0.00%,0.00%
106,C202,C2,5,0.00%,0.00%
107,C202,C2,6,0.00%,0.00%
108,C202,C2,7,0.00%,0.00%
109,C202,C2,8,0.00%,0.00%
110,C202,C2,9,0.00%,0.00%
111,C203,C2,0,0.00%,0.00%
112,C203,C2,1,0.00%,0.00%
113,C203,C2,2,0.00%,0.00%
114,C203,C2,3,0.00%,0.00%
115,C203,C2,4,0.00%,0.00%
116,C203,C2,5,0.00%,0.00%
117,C203,C2,6,0.00%,0.00%
118,C203,C2,7,0.00%,0.00%
119,C203,C2,8,0.00%,0.00%
120,C203,C2,9,0.00%,0.00%
121,C204,C2,0,0.00%,0.00%
122,C204,C2,1,0.00%,0.00%
123,C204,C2,2,0.00%,0.00%
