"run_id","instance_name","size","vehicle_capacity","running_time","perf_inf"
0,"i_60r1c175",60,175,182919,7.812
1,"i_60r1c175",60,175,269453,7.808
2,"i_60r1c175",60,175,213613,7.804
3,"i_60r1c175",60,175,105387,7.808
4,"i_60r1c175",60,175,296209,7.786
5,"i_60r1c175",60,175,672521,7.827
6,"i_60r1c175",60,175,78495,7.808
7,"i_60r1c175",60,175,145578,7.812
8,"i_60r1c175",60,175,517841,7.895
9,"i_60r1c175",60,175,53060,7.808
10,"i_60r1c175",60,175,523059,7.832
11,"i_60r1c175",60,175,456179,7.832
12,"i_60r1c175",60,175,370373,7.874
13,"i_60r1c175",60,175,68121,7.804
14,"i_60r1c175",60,175,794919,7.865
15,"i_60r1c175",60,175,77250,7.808
16,"i_60r1c175",60,175,399517,7.804
17,"i_60r1c175",60,175,405916,7.786
18,"i_60r1c175",60,175,219856,7.805
19,"i_60r1c175",60,175,145836,7.812
20,"i_60r1c175",60,175,173426,7.808
21,"i_60r1c175",60,175,143781,7.805
22,"i_60r1c175",60,175,91281,7.804
23,"i_60r1c175",60,175,86306,7.812
24,"i_60r1c175",60,175,482526,7.805
25,"i_60r1c175",60,175,893586,7.865
26,"i_60r1c175",60,175,306813,7.808
27,"i_60r1c175",60,175,84895,7.808
28,"i_60r1c175",60,175,211999,7.804
29,"i_60r1c175",60,175,176644,7.804
30,"i_60r1c175",60,175,64373,7.808
31,"i_60r1c175",60,175,47077,7.812
32,"i_60r1c175",60,175,221375,7.808
33,"i_60r1c175",60,175,21826,7.808
34,"i_60r1c175",60,175,37970,7.808
35,"i_60r1c175",60,175,272192,7.808
36,"i_60r1c175",60,175,342415,7.808
37,"i_60r1c175",60,175,240989,7.812
38,"i_60r1c175",60,175,115705,7.865
39,"i_60r1c175",60,175,110486,7.808
40,"i_60r1c175",60,175,178443,7.808
41,"i_60r1c175",60,175,101856,7.808
42,"i_60r1c175",60,175,187060,7.804
43,"i_60r1c175",60,175,167338,7.805
44,"i_60r1c175",60,175,426470,7.805
45,"i_60r1c175",60,175,150121,7.832
46,"i_60r1c175",60,175,180913,7.812
47,"i_60r1c175",60,175,159438,7.812
48,"i_60r1c175",60,175,244323,7.804
49,"i_60r1c175",60,175,179700,7.864
50,"i_60r1c175",60,175,412209,7.786
51,"i_60r1c175",60,175,721342,7.808
52,"i_60r1c175",60,175,140046,7.805
53,"i_60r1c175",60,175,153785,7.804
54,"i_60r1c175",60,175,101279,7.804
55,"i_60r1c175",60,175,274670,7.832
56,"i_60r1c175",60,175,60704,7.865
57,"i_60r1c175",60,175,263898,7.832
58,"i_60r1c175",60,175,725571,7.845
59,"i_60r1c175",60,175,168845,7.808
60,"i_60r1c175",60,175,394163,7.787
61,"i_60r1c175",60,175,178541,7.812
62,"i_60r1c175",60,175,443330,7.889
63,"i_60r1c175",60,175,137045,7.865
64,"i_60r1c175",60,175,139344,7.812
65,"i_60r1c175",60,175,314670,7.845
66,"i_60r1c175",60,175,309293,7.812
67,"i_60r1c175",60,175,242256,7.786
68,"i_60r1c175",60,175,178510,7.865
69,"i_60r1c175",60,175,329806,7.808
70,"i_60r1c175",60,175,304419,7.861
71,"i_60r1c175",60,175,420064,7.865
72,"i_60r1c175",60,175,186716,7.808
73,"i_60r1c175",60,175,190228,7.824
74,"i_60r1c175",60,175,330014,7.827
75,"i_60r1c175",60,175,210142,7.812
76,"i_60r1c175",60,175,697324,7.865
77,"i_60r1c175",60,175,255497,7.865
78,"i_60r1c175",60,175,92925,7.804
79,"i_60r1c175",60,175,76958,7.808
80,"i_60r1c175",60,175,209757,7.808
81,"i_60r1c175",60,175,394650,7.832
82,"i_60r1c175",60,175,87244,7.891
83,"i_60r1c175",60,175,325070,7.808
84,"i_60r1c175",60,175,637611,7.86
85,"i_60r1c175",60,175,113450,7.808
86,"i_60r1c175",60,175,467834,7.865
87,"i_60r1c175",60,175,197137,7.804
88,"i_60r1c175",60,175,44971,7.808
89,"i_60r1c175",60,175,167970,7.804
90,"i_60r1c175",60,175,118589,7.808
91,"i_60r1c175",60,175,66196,7.808
92,"i_60r1c175",60,175,626031,7.808
93,"i_60r1c175",60,175,269689,7.865
94,"i_60r1c175",60,175,545217,7.808
95,"i_60r1c175",60,175,316980,7.832
96,"i_60r1c175",60,175,92030,7.812
97,"i_60r1c175",60,175,147763,7.848
98,"i_60r1c175",60,175,192864,7.808
99,"i_60r1c175",60,175,220399,7.804
0,"i_60r2c175",60,175,438456,9.8
1,"i_60r2c175",60,175,987114,9.654
2,"i_60r2c175",60,175,1949353,9.714
3,"i_60r2c175",60,175,730810,9.671
4,"i_60r2c175",60,175,495189,9.719
5,"i_60r2c175",60,175,158309,9.639
6,"i_60r2c175",60,175,2066171,9.597
7,"i_60r2c175",60,175,897879,9.85
8,"i_60r2c175",60,175,127052,9.599
9,"i_60r2c175",60,175,398361,9.719
10,"i_60r2c175",60,175,614796,9.744
11,"i_60r2c175",60,175,369274,9.482
12,"i_60r2c175",60,175,1244638,9.598
13,"i_60r2c175",60,175,1450315,9.755
14,"i_60r2c175",60,175,316464,9.741
15,"i_60r2c175",60,175,416992,9.744
16,"i_60r2c175",60,175,417873,9.719
17,"i_60r2c175",60,175,273839,9.782
18,"i_60r2c175",60,175,600883,9.713
19,"i_60r2c175",60,175,504766,9.768
20,"i_60r2c175",60,175,4752517,9.718
21,"i_60r2c175",60,175,374397,9.649
22,"i_60r2c175",60,175,2651967,9.697
23,"i_60r2c175",60,175,1226305,9.855
24,"i_60r2c175",60,175,212087,9.611
25,"i_60r2c175",60,175,109042,9.744
26,"i_60r2c175",60,175,412958,9.88
27,"i_60r2c175",60,175,219019,9.506
28,"i_60r2c175",60,175,430337,9.768
29,"i_60r2c175",60,175,797461,9.823
30,"i_60r2c175",60,175,119330,9.502
31,"i_60r2c175",60,175,500188,9.618
32,"i_60r2c175",60,175,2567599,9.765
33,"i_60r2c175",60,175,516542,9.777
34,"i_60r2c175",60,175,165731,9.484
35,"i_60r2c175",60,175,72768,9.746
36,"i_60r2c175",60,175,739617,9.663
37,"i_60r2c175",60,175,269068,9.802
38,"i_60r2c175",60,175,257026,9.719
39,"i_60r2c175",60,175,583917,9.599
40,"i_60r2c175",60,175,182711,9.752
41,"i_60r2c175",60,175,36794,9.561
42,"i_60r2c175",60,175,1280107,9.806
43,"i_60r2c175",60,175,554710,9.561
44,"i_60r2c175",60,175,279358,9.722
45,"i_60r2c175",60,175,227139,9.719
46,"i_60r2c175",60,175,472794,9.74
47,"i_60r2c175",60,175,140272,9.74
48,"i_60r2c175",60,175,122196,9.603
49,"i_60r2c175",60,175,383051,9.77
50,"i_60r2c175",60,175,206236,9.68
51,"i_60r2c175",60,175,1095660,9.892
52,"i_60r2c175",60,175,948777,9.852
53,"i_60r2c175",60,175,311702,9.768
54,"i_60r2c175",60,175,873466,9.892
55,"i_60r2c175",60,175,471286,9.74
56,"i_60r2c175",60,175,300044,9.745
57,"i_60r2c175",60,175,162751,9.524
58,"i_60r2c175",60,175,806155,9.529
59,"i_60r2c175",60,175,1055389,9.777
60,"i_60r2c175",60,175,1743608,9.609
61,"i_60r2c175",60,175,477806,9.714
62,"i_60r2c175",60,175,599329,9.704
63,"i_60r2c175",60,175,907116,9.784
64,"i_60r2c175",60,175,427654,9.536
65,"i_60r2c175",60,175,889945,9.846
66,"i_60r2c175",60,175,439053,9.894
67,"i_60r2c175",60,175,104548,9.88
68,"i_60r2c175",60,175,424147,9.829
69,"i_60r2c175",60,175,1154490,9.678
70,"i_60r2c175",60,175,309415,9.742
71,"i_60r2c175",60,175,655902,9.773
72,"i_60r2c175",60,175,107414,9.896
73,"i_60r2c175",60,175,427337,9.639
74,"i_60r2c175",60,175,1151149,9.856
75,"i_60r2c175",60,175,631410,9.746
76,"i_60r2c175",60,175,549500,9.741
77,"i_60r2c175",60,175,104269,9.88
78,"i_60r2c175",60,175,471633,9.662
79,"i_60r2c175",60,175,115376,9.746
80,"i_60r2c175",60,175,412991,9.776
81,"i_60r2c175",60,175,1810410,9.767
82,"i_60r2c175",60,175,964846,9.782
83,"i_60r2c175",60,175,936121,9.742
84,"i_60r2c175",60,175,373136,9.798
85,"i_60r2c175",60,175,1430627,9.77
86,"i_60r2c175",60,175,244833,9.799
87,"i_60r2c175",60,175,857547,9.731
88,"i_60r2c175",60,175,1127065,9.74
89,"i_60r2c175",60,175,459410,9.793
90,"i_60r2c175",60,175,39666,9.561
91,"i_60r2c175",60,175,1379544,9.795
92,"i_60r2c175",60,175,1011669,9.608
93,"i_60r2c175",60,175,1181504,9.666
94,"i_60r2c175",60,175,621688,9.735
95,"i_60r2c175",60,175,492054,9.799
96,"i_60r2c175",60,175,1221667,9.822
97,"i_60r2c175",60,175,251234,9.712
98,"i_60r2c175",60,175,313775,9.637
99,"i_60r2c175",60,175,502317,9.657
0,"i_60r3c175",60,175,10532,8.645
1,"i_60r3c175",60,175,5126,8.623
2,"i_60r3c175",60,175,12834,8.647
3,"i_60r3c175",60,175,7095,8.638
4,"i_60r3c175",60,175,6782,8.652
5,"i_60r3c175",60,175,3836,8.638
6,"i_60r3c175",60,175,8157,8.644
7,"i_60r3c175",60,175,7914,8.606
8,"i_60r3c175",60,175,13623,8.647
9,"i_60r3c175",60,175,4714,8.647
10,"i_60r3c175",60,175,11297,8.651
11,"i_60r3c175",60,175,9791,8.647
12,"i_60r3c175",60,175,4393,8.644
13,"i_60r3c175",60,175,4327,8.647
14,"i_60r3c175",60,175,4889,8.647
15,"i_60r3c175",60,175,11831,8.647
16,"i_60r3c175",60,175,4488,8.652
17,"i_60r3c175",60,175,9250,8.644
18,"i_60r3c175",60,175,15013,8.644
19,"i_60r3c175",60,175,7405,8.645
20,"i_60r3c175",60,175,18677,8.653
21,"i_60r3c175",60,175,8033,8.606
22,"i_60r3c175",60,175,17658,8.649
23,"i_60r3c175",60,175,3964,8.649
24,"i_60r3c175",60,175,8108,8.623
25,"i_60r3c175",60,175,30562,8.638
26,"i_60r3c175",60,175,5537,8.649
27,"i_60r3c175",60,175,9371,8.649
28,"i_60r3c175",60,175,5026,8.65
29,"i_60r3c175",60,175,1852,8.644
30,"i_60r3c175",60,175,5514,8.644
31,"i_60r3c175",60,175,5768,8.647
32,"i_60r3c175",60,175,3019,8.651
33,"i_60r3c175",60,175,10441,8.623
34,"i_60r3c175",60,175,9409,8.647
35,"i_60r3c175",60,175,5692,8.649
36,"i_60r3c175",60,175,6638,8.636
37,"i_60r3c175",60,175,13398,8.636
38,"i_60r3c175",60,175,5996,8.638
39,"i_60r3c175",60,175,33419,8.644
40,"i_60r3c175",60,175,1844,8.606
41,"i_60r3c175",60,175,6660,8.649
42,"i_60r3c175",60,175,7273,8.623
43,"i_60r3c175",60,175,6265,8.623
44,"i_60r3c175",60,175,12200,8.662
45,"i_60r3c175",60,175,7724,8.645
46,"i_60r3c175",60,175,3759,8.647
47,"i_60r3c175",60,175,3393,8.649
48,"i_60r3c175",60,175,11563,8.638
49,"i_60r3c175",60,175,10061,8.636
50,"i_60r3c175",60,175,2838,8.606
51,"i_60r3c175",60,175,4117,8.623
52,"i_60r3c175",60,175,7084,8.623
53,"i_60r3c175",60,175,14420,8.638
54,"i_60r3c175",60,175,4045,8.636
55,"i_60r3c175",60,175,4251,8.647
56,"i_60r3c175",60,175,7415,8.648
57,"i_60r3c175",60,175,10529,8.644
58,"i_60r3c175",60,175,4406,8.647
59,"i_60r3c175",60,175,4046,8.606
60,"i_60r3c175",60,175,5780,8.638
61,"i_60r3c175",60,175,3555,8.606
62,"i_60r3c175",60,175,5481,8.623
63,"i_60r3c175",60,175,21092,8.67
64,"i_60r3c175",60,175,3682,8.647
65,"i_60r3c175",60,175,6232,8.606
66,"i_60r3c175",60,175,2672,8.644
67,"i_60r3c175",60,175,6435,8.651
68,"i_60r3c175",60,175,6356,8.606
69,"i_60r3c175",60,175,3123,8.653
70,"i_60r3c175",60,175,5635,8.645
71,"i_60r3c175",60,175,4949,8.644
72,"i_60r3c175",60,175,11872,8.651
73,"i_60r3c175",60,175,10808,8.645
74,"i_60r3c175",60,175,7482,8.649
75,"i_60r3c175",60,175,2238,8.653
76,"i_60r3c175",60,175,17036,8.674
77,"i_60r3c175",60,175,7775,8.606
78,"i_60r3c175",60,175,14671,8.644
79,"i_60r3c175",60,175,17838,8.636
80,"i_60r3c175",60,175,5211,8.606
81,"i_60r3c175",60,175,5415,8.649
82,"i_60r3c175",60,175,2735,8.647
83,"i_60r3c175",60,175,8237,8.644
84,"i_60r3c175",60,175,6216,8.636
85,"i_60r3c175",60,175,11920,8.644
86,"i_60r3c175",60,175,6216,8.623
87,"i_60r3c175",60,175,10377,8.644
88,"i_60r3c175",60,175,8563,8.644
89,"i_60r3c175",60,175,4277,8.623
90,"i_60r3c175",60,175,6809,8.644
91,"i_60r3c175",60,175,5558,8.644
92,"i_60r3c175",60,175,4386,8.645
93,"i_60r3c175",60,175,4824,8.668
94,"i_60r3c175",60,175,3063,8.652
95,"i_60r3c175",60,175,4266,8.606
96,"i_60r3c175",60,175,8311,8.644
97,"i_60r3c175",60,175,12418,8.606
98,"i_60r3c175",60,175,22986,8.649
99,"i_60r3c175",60,175,7343,8.644
0,"i_60r4c175",60,175,4924,8.188
1,"i_60r4c175",60,175,2599,8.175
2,"i_60r4c175",60,175,3429,8.188
3,"i_60r4c175",60,175,2211,8.188
4,"i_60r4c175",60,175,2441,8.151
5,"i_60r4c175",60,175,2180,8.175
6,"i_60r4c175",60,175,3711,8.188
7,"i_60r4c175",60,175,2106,8.15
8,"i_60r4c175",60,175,2582,8.151
9,"i_60r4c175",60,175,1211,8.188
10,"i_60r4c175",60,175,2615,8.188
11,"i_60r4c175",60,175,2348,8.188
12,"i_60r4c175",60,175,2666,8.173
13,"i_60r4c175",60,175,3667,8.151
14,"i_60r4c175",60,175,2780,8.175
15,"i_60r4c175",60,175,2581,8.188
16,"i_60r4c175",60,175,2196,8.188
17,"i_60r4c175",60,175,2243,8.175
18,"i_60r4c175",60,175,4558,8.173
19,"i_60r4c175",60,175,3796,8.175
20,"i_60r4c175",60,175,2249,8.175
21,"i_60r4c175",60,175,2883,8.188
22,"i_60r4c175",60,175,2849,8.188
23,"i_60r4c175",60,175,3013,8.151
24,"i_60r4c175",60,175,4229,8.188
25,"i_60r4c175",60,175,3946,8.173
26,"i_60r4c175",60,175,2509,8.151
27,"i_60r4c175",60,175,3114,8.151
28,"i_60r4c175",60,175,2991,8.175
29,"i_60r4c175",60,175,2448,8.175
30,"i_60r4c175",60,175,2963,8.149
31,"i_60r4c175",60,175,2540,8.188
32,"i_60r4c175",60,175,3254,8.15
33,"i_60r4c175",60,175,2927,8.188
34,"i_60r4c175",60,175,2731,8.188
35,"i_60r4c175",60,175,2357,8.188
36,"i_60r4c175",60,175,2830,8.151
37,"i_60r4c175",60,175,2573,8.149
38,"i_60r4c175",60,175,3545,8.188
39,"i_60r4c175",60,175,2175,8.15
40,"i_60r4c175",60,175,2694,8.188
41,"i_60r4c175",60,175,2947,8.149
42,"i_60r4c175",60,175,2318,8.149
43,"i_60r4c175",60,175,1556,8.188
44,"i_60r4c175",60,175,2846,8.175
45,"i_60r4c175",60,175,4139,8.188
46,"i_60r4c175",60,175,3208,8.188
47,"i_60r4c175",60,175,3219,8.188
48,"i_60r4c175",60,175,3202,8.15
49,"i_60r4c175",60,175,3738,8.188
50,"i_60r4c175",60,175,3458,8.151
51,"i_60r4c175",60,175,3282,8.188
52,"i_60r4c175",60,175,2978,8.188
53,"i_60r4c175",60,175,2379,8.175
54,"i_60r4c175",60,175,3569,8.188
55,"i_60r4c175",60,175,3113,8.123
56,"i_60r4c175",60,175,2468,8.15
57,"i_60r4c175",60,175,3878,8.173
58,"i_60r4c175",60,175,3694,8.175
59,"i_60r4c175",60,175,2370,8.175
60,"i_60r4c175",60,175,4400,8.15
61,"i_60r4c175",60,175,1729,8.123
62,"i_60r4c175",60,175,3360,8.149
63,"i_60r4c175",60,175,2460,8.188
64,"i_60r4c175",60,175,3144,8.188
65,"i_60r4c175",60,175,3749,8.188
66,"i_60r4c175",60,175,2948,8.188
67,"i_60r4c175",60,175,2608,8.175
68,"i_60r4c175",60,175,2900,8.188
69,"i_60r4c175",60,175,2232,8.188
70,"i_60r4c175",60,175,1893,8.15
71,"i_60r4c175",60,175,1470,8.188
72,"i_60r4c175",60,175,2874,8.15
73,"i_60r4c175",60,175,2233,8.151
74,"i_60r4c175",60,175,2680,8.173
75,"i_60r4c175",60,175,3090,8.188
76,"i_60r4c175",60,175,4019,8.188
77,"i_60r4c175",60,175,2280,8.175
78,"i_60r4c175",60,175,1626,8.188
79,"i_60r4c175",60,175,3027,8.188
80,"i_60r4c175",60,175,1406,8.188
81,"i_60r4c175",60,175,3842,8.151
82,"i_60r4c175",60,175,2757,8.188
