"#==================== COMMENTS ====================";;;;;;
"#==================================================";;;;;;
"run_id";"instance_name";"size";"vehicle_capacity";"running_time";"perf_inf";"seeds"
0;"i_5r1c9";5;9;99;3.108;"[4500450, 4500451, 4500452, 4500453, 4500454, 4500455]"
0;"i_5r1c9";5;9;71;3.108;"[4500450, 4500451, 4500452, 4500453, 4500454, 4500455]"
1;"i_5r1c9";5;9;57;2.848;"[4500456, 4500457, 4500458, 4500459, 4500460, 4500461]"
1;"i_5r1c9";5;9;50;2.848;"[4500456, 4500457, 4500458, 4500459, 4500460, 4500461]"
2;"i_5r1c9";5;9;75;3.108;"[4500462, 4500463, 4500464, 4500465, 4500466, 4500467]"
2;"i_5r1c9";5;9;38;3.108;"[4500462, 4500463, 4500464, 4500465, 4500466, 4500467]"
3;"i_5r1c9";5;9;65;3.2;"[4500468, 4500469, 4500470, 4500471, 4500472, 4500473]"
4;"i_5r1c9";5;9;33;2.848;"[4500474, 4500475, 4500476, 4500477, 4500478, 4500479]"
4;"i_5r1c9";5;9;31;2.848;"[4500474, 4500475, 4500476, 4500477, 4500478, 4500479]"
5;"i_5r1c9";5;9;7167;3.2;"[4500480, 4500481, 4500482, 4500483, 4500484, 4500485]"
6;"i_5r1c9";5;9;148;3.2;"[4500486, 4500487, 4500488, 4500489, 4500490, 4500491]"
7;"i_5r1c9";5;9;44;2.848;"[4500492, 4500493, 4500494, 4500495, 4500496, 4500497]"
7;"i_5r1c9";5;9;44;2.848;"[4500492, 4500493, 4500494, 4500495, 4500496, 4500497]"
8;"i_5r1c9";5;9;54;3.108;"[4500498, 4500499, 4500500, 4500501, 4500502, 4500503]"
8;"i_5r1c9";5;9;28;3.108;"[4500498, 4500499, 4500500, 4500501, 4500502, 4500503]"
9;"i_5r1c9";5;9;53;3.2;"[4500504, 4500505, 4500506, 4500507, 4500508, 4500509]"
10;"i_5r1c9";5;9;26;3.108;"[4500510, 4500511, 4500512, 4500513, 4500514, 4500515]"
10;"i_5r1c9";5;9;26;3.108;"[4500510, 4500511, 4500512, 4500513, 4500514, 4500515]"
11;"i_5r1c9";5;9;38;3.2;"[4500516, 4500517, 4500518, 4500519, 4500520, 4500521]"
12;"i_5r1c9";5;9;60;3.108;"[4500522, 4500523, 4500524, 4500525, 4500526, 4500527]"
12;"i_5r1c9";5;9;25;3.108;"[4500522, 4500523, 4500524, 4500525, 4500526, 4500527]"
13;"i_5r1c9";5;9;52;3.2;"[4500528, 4500529, 4500530, 4500531, 4500532, 4500533]"
14;"i_5r1c9";5;9;29;3.108;"[4500534, 4500535, 4500536, 4500537, 4500538, 4500539]"
14;"i_5r1c9";5;9;61;3.108;"[4500534, 4500535, 4500536, 4500537, 4500538, 4500539]"
15;"i_5r1c9";5;9;49;2.848;"[4500540, 4500541, 4500542, 4500543, 4500544, 4500545]"
15;"i_5r1c9";5;9;26;2.848;"[4500540, 4500541, 4500542, 4500543, 4500544, 4500545]"
16;"i_5r1c9";5;9;32;3.2;"[4500546, 4500547, 4500548, 4500549, 4500550, 4500551]"
17;"i_5r1c9";5;9;36;2.848;"[4500552, 4500553, 4500554, 4500555, 4500556, 4500557]"
17;"i_5r1c9";5;9;60;2.848;"[4500552, 4500553, 4500554, 4500555, 4500556, 4500557]"
18;"i_5r1c9";5;9;33;3.2;"[4500558, 4500559, 4500560, 4500561, 4500562, 4500563]"
19;"i_5r1c9";5;9;25;2.848;"[4500564, 4500565, 4500566, 4500567, 4500568, 4500569]"
19;"i_5r1c9";5;9;30;2.848;"[4500564, 4500565, 4500566, 4500567, 4500568, 4500569]"
20;"i_5r1c9";5;9;24;3.108;"[4500570, 4500571, 4500572, 4500573, 4500574, 4500575]"
20;"i_5r1c9";5;9;35;3.108;"[4500570, 4500571, 4500572, 4500573, 4500574, 4500575]"
21;"i_5r1c9";5;9;24;2.848;"[4500576, 4500577, 4500578, 4500579, 4500580, 4500581]"
21;"i_5r1c9";5;9;24;2.848;"[4500576, 4500577, 4500578, 4500579, 4500580, 4500581]"
22;"i_5r1c9";5;9;34;3.108;"[4500582, 4500583, 4500584, 4500585, 4500586, 4500587]"
22;"i_5r1c9";5;9;38;3.108;"[4500582, 4500583, 4500584, 4500585, 4500586, 4500587]"
23;"i_5r1c9";5;9;36;2.848;"[4500588, 4500589, 4500590, 4500591, 4500592, 4500593]"
23;"i_5r1c9";5;9;31;2.848;"[4500588, 4500589, 4500590, 4500591, 4500592, 4500593]"
24;"i_5r1c9";5;9;67;3.2;"[4500594, 4500595, 4500596, 4500597, 4500598, 4500599]"
25;"i_5r1c9";5;9;26;3.108;"[4500600, 4500601, 4500602, 4500603, 4500604, 4500605]"
25;"i_5r1c9";5;9;56;3.108;"[4500600, 4500601, 4500602, 4500603, 4500604, 4500605]"
26;"i_5r1c9";5;9;54;3.2;"[4500606, 4500607, 4500608, 4500609, 4500610, 4500611]"
27;"i_5r1c9";5;9;49;3.2;"[4500612, 4500613, 4500614, 4500615, 4500616, 4500617]"
28;"i_5r1c9";5;9;49;3.2;"[4500618, 4500619, 4500620, 4500621, 4500622, 4500623]"
29;"i_5r1c9";5;9;27;2.848;"[4500624, 4500625, 4500626, 4500627, 4500628, 4500629]"
29;"i_5r1c9";5;9;49;2.848;"[4500624, 4500625, 4500626, 4500627, 4500628, 4500629]"
30;"i_5r1c9";5;9;30;3.445;"[4500630, 4500631, 4500632, 4500633, 4500634, 4500635]"
31;"i_5r1c9";5;9;25;2.848;"[4500636, 4500637, 4500638, 4500639, 4500640, 4500641]"
31;"i_5r1c9";5;9;26;2.848;"[4500636, 4500637, 4500638, 4500639, 4500640, 4500641]"
32;"i_5r1c9";5;9;33;2.267;"[4500642, 4500643, 4500644, 4500645, 4500646, 4500647]"
32;"i_5r1c9";5;9;46;2.267;"[4500642, 4500643, 4500644, 4500645, 4500646, 4500647]"
33;"i_5r1c9";5;9;43;3.2;"[4500648, 4500649, 4500650, 4500651, 4500652, 4500653]"
34;"i_5r1c9";5;9;31;2.848;"[4500654, 4500655, 4500656, 4500657, 4500658, 4500659]"
34;"i_5r1c9";5;9;19;2.848;"[4500654, 4500655, 4500656, 4500657, 4500658, 4500659]"
35;"i_5r1c9";5;9;24;2.848;"[4500660, 4500661, 4500662, 4500663, 4500664, 4500665]"
35;"i_5r1c9";5;9;21;2.848;"[4500660, 4500661, 4500662, 4500663, 4500664, 4500665]"
36;"i_5r1c9";5;9;37;3.2;"[4500666, 4500667, 4500668, 4500669, 4500670, 4500671]"
37;"i_5r1c9";5;9;25;3.108;"[4500672, 4500673, 4500674, 4500675, 4500676, 4500677]"
37;"i_5r1c9";5;9;18;3.108;"[4500672, 4500673, 4500674, 4500675, 4500676, 4500677]"
38;"i_5r1c9";5;9;26;2.848;"[4500678, 4500679, 4500680, 4500681, 4500682, 4500683]"
38;"i_5r1c9";5;9;19;2.848;"[4500678, 4500679, 4500680, 4500681, 4500682, 4500683]"
39;"i_5r1c9";5;9;74;3.445;"[4500684, 4500685, 4500686, 4500687, 4500688, 4500689]"
40;"i_5r1c9";5;9;25;2.848;"[4500690, 4500691, 4500692, 4500693, 4500694, 4500695]"
40;"i_5r1c9";5;9;24;2.848;"[4500690, 4500691, 4500692, 4500693, 4500694, 4500695]"
41;"i_5r1c9";5;9;22;3.2;"[4500696, 4500697, 4500698, 4500699, 4500700, 4500701]"
42;"i_5r1c9";5;9;53;3.108;"[4500702, 4500703, 4500704, 4500705, 4500706, 4500707]"
42;"i_5r1c9";5;9;27;3.108;"[4500702, 4500703, 4500704, 4500705, 4500706, 4500707]"
43;"i_5r1c9";5;9;32;3.108;"[4500708, 4500709, 4500710, 4500711, 4500712, 4500713]"
43;"i_5r1c9";5;9;29;3.108;"[4500708, 4500709, 4500710, 4500711, 4500712, 4500713]"
44;"i_5r1c9";5;9;25;3.108;"[4500714, 4500715, 4500716, 4500717, 4500718, 4500719]"
44;"i_5r1c9";5;9;25;3.108;"[4500714, 4500715, 4500716, 4500717, 4500718, 4500719]"
45;"i_5r1c9";5;9;59;3.2;"[4500720, 4500721, 4500722, 4500723, 4500724, 4500725]"
46;"i_5r1c9";5;9;31;2.848;"[4500726, 4500727, 4500728, 4500729, 4500730, 4500731]"
46;"i_5r1c9";5;9;32;2.848;"[4500726, 4500727, 4500728, 4500729, 4500730, 4500731]"
47;"i_5r1c9";5;9;58;3.2;"[4500732, 4500733, 4500734, 4500735, 4500736, 4500737]"
48;"i_5r1c9";5;9;41;3.2;"[4500738, 4500739, 4500740, 4500741, 4500742, 4500743]"
49;"i_5r1c9";5;9;61;2.267;"[4500744, 4500745, 4500746, 4500747, 4500748, 4500749]"
49;"i_5r1c9";5;9;24;2.267;"[4500744, 4500745, 4500746, 4500747, 4500748, 4500749]"
50;"i_5r1c9";5;9;25;3.2;"[4500750, 4500751, 4500752, 4500753, 4500754, 4500755]"
51;"i_5r1c9";5;9;25;3.2;"[4500756, 4500757, 4500758, 4500759, 4500760, 4500761]"
52;"i_5r1c9";5;9;29;2.848;"[4500762, 4500763, 4500764, 4500765, 4500766, 4500767]"
52;"i_5r1c9";5;9;42;2.848;"[4500762, 4500763, 4500764, 4500765, 4500766, 4500767]"
53;"i_5r1c9";5;9;24;3.2;"[4500768, 4500769, 4500770, 4500771, 4500772, 4500773]"
54;"i_5r1c9";5;9;19;3.2;"[4500774, 4500775, 4500776, 4500777, 4500778, 4500779]"
55;"i_5r1c9";5;9;25;2.267;"[4500780, 4500781, 4500782, 4500783, 4500784, 4500785]"
55;"i_5r1c9";5;9;32;2.267;"[4500780, 4500781, 4500782, 4500783, 4500784, 4500785]"
56;"i_5r1c9";5;9;24;3.2;"[4500786, 4500787, 4500788, 4500789, 4500790, 4500791]"
57;"i_5r1c9";5;9;31;3.108;"[4500792, 4500793, 4500794, 4500795, 4500796, 4500797]"
57;"i_5r1c9";5;9;22;3.108;"[4500792, 4500793, 4500794, 4500795, 4500796, 4500797]"
58;"i_5r1c9";5;9;46;2.848;"[4500798, 4500799, 4500800, 4500801, 4500802, 4500803]"
58;"i_5r1c9";5;9;20;2.848;"[4500798, 4500799, 4500800, 4500801, 4500802, 4500803]"
