#==================== COMMENTS ====================
Date: Mon Oct 25 15:10:39 COT 2010
MSA:
SingleThreadComponentManager
Scenario Generator:
 VRPSDScenarioGenerator
Scenario Optimizer:
 VRPSDSVScenarioOptimizer 
Init (ns=1,ni=0,nc=0,maxTime=60000,stop=Timer:not started, timeout:60000ms Iterations:0/2147483647):VersatileLocalSearch (ns=1,ni=0,nc=0,maxTime=60000,stop=Timer:not started, timeout:60000ms Iterations:0/2147483647)
 Init:MSACWInitialization (ClarkeAndWrightHeuristic Algo:MSACWSavingsHeuristic)
 Pertub:Identity
 LS:VariableNeighborhoodSearch 
 Shake:[StringExchangeNeighborhood (maxLenght:3), StringExchangeNeighborhood (maxLenght:4)] (maxT:none,maxIt:none,NI,rnd)
 LS:VariableNeighborhoodSearch 
 Shake: Identity 
 LS:[SwapNeighborhood, TwoOptNeighborhood, OrOptNeighborhood (maxLenght:3)] (maxT:none,maxIt:none,BI,det) (maxT:none,maxIt:none,BI,det)
Opt (maxT:10000,maxIt:10000,BI,det): VariableNeighborhoodSearch 
 Shake:[StringExchangeNeighborhood (maxLenght:3), StringExchangeNeighborhood (maxLenght:4)] (maxT:none,maxIt:none,NI,rnd)
 LS:VariableNeighborhoodSearch 
 Shake: Identity 
 LS:[SwapNeighborhood, TwoOptNeighborhood, OrOptNeighborhood (maxLenght:3)] (maxT:none,maxIt:none,BI,det) (maxT:none,maxIt:none,BI,det)
Scenario Updater:
 VRPSDScenarioUpdater
Solution Builder:
 VRPSDConsensus
Pool Cleaner:
 VRPPoolCleanerBase
Request Sampler:
 VRPRequestSamplerBase
Request Validator:
 VRPRequestValidatorBase


#==================================================


run_id;instance_name;size;vehicle_capacity;running_time;cost;perf_inf;failures;speed;comment;seeds;status
0;i_30r1c87;30;87;366;7.017;6.835;0;5.000;data/VRPSDConsensus.conf;[27062706, 27062707, 27062708, 27062709, 27062710, 27062711];NORMAL
1;i_30r1c87;30;87;379;7.374;6.837;0;5.000;data/VRPSDConsensus.conf;[27062712, 27062713, 27062714, 27062715, 27062716, 27062717];NORMAL
2;i_30r1c87;30;87;384;7.072;6.890;1;5.000;data/VRPSDConsensus.conf;[27062718, 27062719, 27062720, 27062721, 27062722, 27062723];NORMAL
3;i_30r1c87;30;87;385;7.330;6.967;0;5.000;data/VRPSDConsensus.conf;[27062724, 27062725, 27062726, 27062727, 27062728, 27062729];NORMAL
5;i_30r1c87;30;87;375;7.017;7.017;0;5.000;data/VRPSDConsensus.conf;[27062736, 27062737, 27062738, 27062739, 27062740, 27062741];NORMAL
4;i_30r1c87;30;87;403;9.409;7.064;0;5.000;data/VRPSDConsensus.conf;[27062730, 27062731, 27062732, 27062733, 27062734, 27062735];NORMAL
7;i_30r1c87;30;87;367;7.017;6.933;0;5.000;data/VRPSDConsensus.conf;[27062748, 27062749, 27062750, 27062751, 27062752, 27062753];NORMAL
6;i_30r1c87;30;87;416;8.964;7.263;0;5.000;data/VRPSDConsensus.conf;[27062742, 27062743, 27062744, 27062745, 27062746, 27062747];NORMAL
8;i_30r1c87;30;87;366;7.321;6.854;0;5.000;data/VRPSDConsensus.conf;[27062754, 27062755, 27062756, 27062757, 27062758, 27062759];NORMAL
9;i_30r1c87;30;87;372;7.330;6.933;0;5.000;data/VRPSDConsensus.conf;[27062760, 27062761, 27062762, 27062763, 27062764, 27062765];NORMAL
10;i_30r1c87;30;87;378;7.772;6.835;0;5.000;data/VRPSDConsensus.conf;[27062766, 27062767, 27062768, 27062769, 27062770, 27062771];NORMAL
11;i_30r1c87;30;87;378;7.330;7.035;0;5.000;data/VRPSDConsensus.conf;[27062772, 27062773, 27062774, 27062775, 27062776, 27062777];NORMAL
12;i_30r1c87;30;87;383;8.077;6.841;0;5.000;data/VRPSDConsensus.conf;[27062778, 27062779, 27062780, 27062781, 27062782, 27062783];NORMAL
13;i_30r1c87;30;87;368;7.633;6.841;0;5.000;data/VRPSDConsensus.conf;[27062784, 27062785, 27062786, 27062787, 27062788, 27062789];NORMAL
14;i_30r1c87;30;87;368;7.363;6.933;0;5.000;data/VRPSDConsensus.conf;[27062790, 27062791, 27062792, 27062793, 27062794, 27062795];NORMAL
15;i_30r1c87;30;87;375;7.330;7.064;0;5.000;data/VRPSDConsensus.conf;[27062796, 27062797, 27062798, 27062799, 27062800, 27062801];NORMAL
16;i_30r1c87;30;87;375;7.017;7.017;0;5.000;data/VRPSDConsensus.conf;[27062802, 27062803, 27062804, 27062805, 27062806, 27062807];NORMAL
17;i_30r1c87;30;87;363;7.321;6.841;0;5.000;data/VRPSDConsensus.conf;[27062808, 27062809, 27062810, 27062811, 27062812, 27062813];NORMAL
18;i_30r1c87;30;87;369;7.017;6.835;0;5.000;data/VRPSDConsensus.conf;[27062814, 27062815, 27062816, 27062817, 27062818, 27062819];NORMAL
19;i_30r1c87;30;87;376;7.330;6.983;0;5.000;data/VRPSDConsensus.conf;[27062820, 27062821, 27062822, 27062823, 27062824, 27062825];NORMAL
20;i_30r1c87;30;87;398;7.330;6.918;0;5.000;data/VRPSDConsensus.conf;[27062826, 27062827, 27062828, 27062829, 27062830, 27062831];NORMAL
21;i_30r1c87;30;87;395;7.330;6.841;0;5.000;data/VRPSDConsensus.conf;[27062832, 27062833, 27062834, 27062835, 27062836, 27062837];NORMAL
23;i_30r1c87;30;87;370;7.330;6.841;0;5.000;data/VRPSDConsensus.conf;[27062844, 27062845, 27062846, 27062847, 27062848, 27062849];NORMAL
22;i_30r1c87;30;87;390;7.772;7.284;0;5.000;data/VRPSDConsensus.conf;[27062838, 27062839, 27062840, 27062841, 27062842, 27062843];NORMAL
24;i_30r1c87;30;87;374;7.321;6.795;0;5.000;data/VRPSDConsensus.conf;[27062850, 27062851, 27062852, 27062853, 27062854, 27062855];NORMAL
25;i_30r1c87;30;87;380;8.122;6.928;0;5.000;data/VRPSDConsensus.conf;[27062856, 27062857, 27062858, 27062859, 27062860, 27062861];NORMAL
26;i_30r1c87;30;87;392;7.330;6.841;0;5.000;data/VRPSDConsensus.conf;[27062862, 27062863, 27062864, 27062865, 27062866, 27062867];NORMAL
27;i_30r1c87;30;87;382;7.821;6.835;0;5.000;data/VRPSDConsensus.conf;[27062868, 27062869, 27062870, 27062871, 27062872, 27062873];NORMAL
